record_no,datetime,radon_bq_m3
1,2024-05-17 00:47:00,11
2,2024-05-17 02:47:00,5
3,2024-05-17 03:47:00,19
4,2024-05-17 04:47:00,7
5,2024-05-17 05:47:00,11
6,2024-05-17 06:47:00,9
7,2024-05-17 07:47:00,11
8,2024-05-17 08:47:00,7
9,2024-05-17 09:47:00,7
10,2024-05-17 10:47:00,5
11,2024-05-17 11:47:00,11
12,2024-05-17 12:47:00,7
13,2024-05-17 13:47:00,11
14,2024-05-17 14:47:00,5
15,2024-05-17 15:47:00,11
16,2024-05-17 16:47:00,7
17,2024-05-17 17:47:00,11
18,2024-05-17 18:47:00,5
19,2024-05-17 19:47:00,25
20,2024-05-17 20:47:00,2
21,2024-05-17 21:47:00,5
22,2024-05-17 22:47:00,11
23,2024-05-17 23:47:00,21
24,2024-05-18 00:47:00,14
25,2024-05-18 01:47:00,21
26,2024-05-18 02:47:00,16
27,2024-05-18 03:47:00,11
28,2024-05-18 04:47:00,19
29,2024-05-18 05:47:00,9
30,2024-05-18 06:47:00,11
31,2024-05-18 07:47:00,14
32,2024-05-18 08:47:00,14
33,2024-05-18 09:47:00,16
34,2024-05-18 10:47:00,28
35,2024-05-18 11:47:00,23
36,2024-05-18 12:47:00,9
37,2024-05-18 13:47:00,11
38,2024-05-18 14:47:00,18
39,2024-05-18 15:47:00,14
40,2024-05-18 16:47:00,18
41,2024-05-18 17:47:00,19
42,2024-05-18 18:47:00,7
43,2024-05-18 19:47:00,14
44,2024-05-18 20:47:00,23
45,2024-05-18 21:47:00,16
46,2024-05-18 22:47:00,2
47,2024-05-18 23:47:00,2
48,2024-05-19 00:47:00,16
49,2024-05-19 01:47:00,18
50,2024-05-19 02:47:00,11
51,2024-05-19 03:47:00,14
52,2024-05-19 04:47:00,19
53,2024-05-19 05:47:00,23
54,2024-05-19 06:47:00,26
55,2024-05-19 07:47:00,28
56,2024-05-19 08:47:00,25
57,2024-05-19 09:47:00,18
58,2024-05-19 10:47:00,28
59,2024-05-19 11:47:00,30
60,2024-05-19 12:47:00,21
61,2024-05-19 13:47:00,19
62,2024-05-19 14:47:00,11
63,2024-05-19 16:47:00,11
64,2024-05-19 17:47:00,5
65,2024-05-19 19:47:00,14
66,2024-05-19 20:47:00,9
67,2024-05-19 21:47:00,18
68,2024-05-19 22:47:00,11
69,2024-05-19 23:47:00,9
70,2024-05-20 00:47:00,5
71,2024-05-20 01:47:00,11
72,2024-05-20 02:47:00,21
73,2024-05-20 03:47:00,11
74,2024-05-20 04:47:00,16
75,2024-05-20 05:47:00,14
76,2024-05-20 06:47:00,30
77,2024-05-20 07:47:00,21
78,2024-05-20 08:47:00,18
79,2024-05-20 09:47:00,30
80,2024-05-20 10:47:00,30
81,2024-05-20 11:47:00,23
82,2024-05-20 12:47:00,23
83,2024-05-20 13:47:00,23
84,2024-05-20 14:47:00,25
85,2024-05-20 15:47:00,23
86,2024-05-20 16:47:00,28
87,2024-05-20 17:47:00,21
88,2024-05-20 18:47:00,7
89,2024-05-20 19:47:00,11
90,2024-05-20 20:47:00,19
91,2024-05-20 21:47:00,21
92,2024-05-20 22:47:00,37
93,2024-05-20 23:47:00,30
94,2024-05-21 00:47:00,23
95,2024-05-21 01:47:00,37
96,2024-05-21 02:47:00,25
97,2024-05-21 03:47:00,35
98,2024-05-21 04:47:00,28
99,2024-05-21 05:47:00,30
100,2024-05-21 06:47:00,14
101,2024-05-21 07:47:00,16
102,2024-05-21 08:47:00,14
103,2024-05-21 10:47:00,7
104,2024-05-21 11:47:00,7
105,2024-05-21 12:47:00,2
106,2024-05-21 13:47:00,23
107,2024-05-21 14:47:00,2
108,2024-05-21 15:47:00,11
109,2024-05-21 16:47:00,2
110,2024-05-21 17:47:00,11
111,2024-05-21 18:47:00,7
112,2024-05-21 19:47:00,9
113,2024-05-21 20:47:00,5
114,2024-05-21 21:47:00,7
115,2024-05-21 22:47:00,14
116,2024-05-21 23:47:00,2
117,2024-05-22 00:47:00,2
118,2024-05-22 01:47:00,2
119,2024-05-22 02:47:00,14
120,2024-05-22 03:47:00,9
121,2024-05-22 04:47:00,11
