C_eq_bq_m3,apparent_non_decay_relaxation_rate_h_minus_1,convergence_status,cycle_label,dynamic_range_bq_m3,elapsed_span_h,endpoint_change,final_concentration_bq_m3,first_timestamp,fit_name,flags,floor_concentration,floor_source,half_time_h,identifiability_status,initial_concentration_bq_m3,kappa_C_eq_tradeoff_note,kappa_h_minus_1,last_timestamp,linear_slope_bq_m3_per_h,mae,maximum_absolute_residual,observation_count,parameter_at_boundary,phase,phase_mean_bq_m3,profile_C_eq_range,profile_best_C_eq,profile_near_optimal_kappa_max,profile_near_optimal_kappa_min,profile_near_optimal_kappa_ratio,rmse,s_bq_m3_per_h,theil_sen_slope_bq_m3_per_h,use_status
,,DESCRIPTIVE,Cycle 1,28.0,32.0,3.0,14.0,2024-05-24T00:47:00+00:00,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,,,,FIT_OK,11.0,,,2024-05-25T08:47:00+00:00,0.09375,,,33,,baseline,12.575758,,,,,,,,0.0,
12.634632,2.10843,CONVERGED,Cycle 1,28.0,32.0,,14.0,2024-05-24T00:47:00+00:00,baseline_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE|KAPPA_NOT_PRACTICALLY_IDENTIFIABLE|EQUILIBRIUM_NOT_PRACTICALLY_IDENTIFIABLE,,,0.327577,KAPPA_NOT_PRACTICALLY_IDENTIFIABLE|EQUILIBRIUM_NOT_PRACTICALLY_IDENTIFIABLE,11.0,profile-error audit: multiple kappa/C_eq combinations are near-optimal,2.115983,2024-05-25T08:47:00+00:00,,4.457356,15.365368,33,False,baseline,,604.970153,12.634632,1.0,0.0001,10000.0,5.818435,26.734668,,
,,DESCRIPTIVE,Cycle 1,237.0,109.0,181.0,228.0,2024-05-25T09:47:00+00:00,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,,,,FIT_OK,47.0,,,2024-05-29T22:47:00+00:00,1.66055,,,110,,accumulation,194.245455,,,,,,,,1.230769,
233.57562,0.035858,CONVERGED,Cycle 1,237.0,109.0,,228.0,2024-05-25T09:47:00+00:00,accumulation_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,,,15.967238,FIT_OK,47.0,profile-error audit: multiple kappa/C_eq combinations are near-optimal,0.043411,2024-05-29T22:47:00+00:00,,17.444942,63.5332,110,False,accumulation,,12.499015,233.57562,0.050119,0.036869,1.359356,22.270232,10.139655,,
,,DESCRIPTIVE,Cycle 1,207.0,3.0,-195.0,33.0,2024-05-29T22:47:00+00:00,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,,,,FIT_OK,228.0,,,2024-05-30T01:47:00+00:00,-65.0,,,4,,rapid_removal,82.0,,,,,,,,-45.0,
26.66463,2.397741,CONVERGED,Cycle 1,207.0,3.0,,33.0,2024-05-29T22:47:00+00:00,rapid_removal_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE|DESCRIPTIVE_ONLY_SMALL_N,,,0.288176,FIT_OK,228.0,,2.405294,2024-05-30T01:47:00+00:00,,3.664655,7.304118,4,False,rapid_removal,,,26.66463,,,,4.821733,64.136278,,
12.575758,1.785523,CONVERGED,Cycle 1,207.0,3.0,,33.0,2024-05-29T22:47:00+00:00,D2_fixed_pre_event_baseline_floor,DESCRIPTIVE_ONLY_SMALL_N,12.575758,pre_event_baseline_mean,0.386569,FIT_OK,228.0,,1.793076,2024-05-30T01:47:00+00:00,,6.079842,19.430839,4,False,rapid_removal,,,12.575758,,,,9.867962,22.54929,,
13.565217,1.820042,CONVERGED,Cycle 1,207.0,3.0,,33.0,2024-05-29T22:47:00+00:00,D3_fixed_post_event_floor,DESCRIPTIVE_ONLY_SMALL_N,13.565217,post_event_mean_retrospective,0.379267,FIT_OK,228.0,,1.827595,2024-05-30T01:47:00+00:00,,5.619936,18.54322,4,False,rapid_removal,,,13.565217,,,,9.375651,24.791724,,retrospective_future_informed_descriptive_fit
,,CALCULATED,Cycle 1,207.0,3.0,,33.0,2024-05-29T22:47:00+00:00,D4_endpoint_pre_event_baseline_floor,FIT_OK,12.575758,pre_event_baseline_mean,0.882658,FIT_OK,228.0,,0.785296,2024-05-30T01:47:00+00:00,,,,4,,rapid_removal,,,,,,,,,,
,,CALCULATED,Cycle 1,207.0,3.0,,33.0,2024-05-29T22:47:00+00:00,D4_endpoint_post_event_floor,FIT_OK,13.565217,post_event_mean_retrospective,0.866094,FIT_OK,228.0,,0.800314,2024-05-30T01:47:00+00:00,,,,4,,rapid_removal,,,,,,,,,,
,,DESCRIPTIVE,Cycle 1,28.0,45.0,-12.0,9.0,2024-05-30T02:47:00+00:00,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,,,,FIT_OK,21.0,,,2024-05-31T23:47:00+00:00,-0.266667,,,46,,post_event,13.565217,,,,,,,,-0.238095,
6.016293,0.029015,CONVERGED,Cycle 1,28.0,45.0,,9.0,2024-05-30T02:47:00+00:00,post_event_D1_free_equilibrium,NON_MONOTONIC_WITHIN_PHASE,,,18.955036,FIT_OK,21.0,profile-error audit: multiple kappa/C_eq combinations are near-optimal,0.036568,2024-05-31T23:47:00+00:00,,4.138148,13.589135,46,False,post_event,,10.242255,6.016293,0.079433,0.018478,4.298662,5.418421,0.220004,,
,,DESCRIPTIVE,Cycle 2,37.0,32.0,21.0,37.0,2024-06-09T00:44:00+00:00,D0_descriptive_linear_trend,NON_MONOTONIC_WITHIN_PHASE,,,,FIT_OK,16.0,,,2024-06-10T08:44:00+00:00,0.65625,,,33,,baseline,23.909091,,,,,,,,-0.136364,
