timestamp,local_timestamp,utc_timestamp,timezone,flags,note
2024-05-17T00:47:00+00:00,2024-05-17T02:47:00+02:00,2024-05-17T00:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T02:47:00+00:00,2024-05-17T04:47:00+02:00,2024-05-17T02:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T03:47:00+00:00,2024-05-17T05:47:00+02:00,2024-05-17T03:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T04:47:00+00:00,2024-05-17T06:47:00+02:00,2024-05-17T04:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T05:47:00+00:00,2024-05-17T07:47:00+02:00,2024-05-17T05:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T06:47:00+00:00,2024-05-17T08:47:00+02:00,2024-05-17T06:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T07:47:00+00:00,2024-05-17T09:47:00+02:00,2024-05-17T07:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T08:47:00+00:00,2024-05-17T10:47:00+02:00,2024-05-17T08:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T09:47:00+00:00,2024-05-17T11:47:00+02:00,2024-05-17T09:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T10:47:00+00:00,2024-05-17T12:47:00+02:00,2024-05-17T10:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T11:47:00+00:00,2024-05-17T13:47:00+02:00,2024-05-17T11:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T12:47:00+00:00,2024-05-17T14:47:00+02:00,2024-05-17T12:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T13:47:00+00:00,2024-05-17T15:47:00+02:00,2024-05-17T13:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T14:47:00+00:00,2024-05-17T16:47:00+02:00,2024-05-17T14:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T15:47:00+00:00,2024-05-17T17:47:00+02:00,2024-05-17T15:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T16:47:00+00:00,2024-05-17T18:47:00+02:00,2024-05-17T16:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T17:47:00+00:00,2024-05-17T19:47:00+02:00,2024-05-17T17:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T18:47:00+00:00,2024-05-17T20:47:00+02:00,2024-05-17T18:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T19:47:00+00:00,2024-05-17T21:47:00+02:00,2024-05-17T19:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T20:47:00+00:00,2024-05-17T22:47:00+02:00,2024-05-17T20:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T21:47:00+00:00,2024-05-17T23:47:00+02:00,2024-05-17T21:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T22:47:00+00:00,2024-05-18T00:47:00+02:00,2024-05-17T22:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-17T23:47:00+00:00,2024-05-18T01:47:00+02:00,2024-05-17T23:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T00:47:00+00:00,2024-05-18T02:47:00+02:00,2024-05-18T00:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T01:47:00+00:00,2024-05-18T03:47:00+02:00,2024-05-18T01:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T02:47:00+00:00,2024-05-18T04:47:00+02:00,2024-05-18T02:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T03:47:00+00:00,2024-05-18T05:47:00+02:00,2024-05-18T03:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T04:47:00+00:00,2024-05-18T06:47:00+02:00,2024-05-18T04:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T05:47:00+00:00,2024-05-18T07:47:00+02:00,2024-05-18T05:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T06:47:00+00:00,2024-05-18T08:47:00+02:00,2024-05-18T06:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T07:47:00+00:00,2024-05-18T09:47:00+02:00,2024-05-18T07:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T08:47:00+00:00,2024-05-18T10:47:00+02:00,2024-05-18T08:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T09:47:00+00:00,2024-05-18T11:47:00+02:00,2024-05-18T09:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T10:47:00+00:00,2024-05-18T12:47:00+02:00,2024-05-18T10:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T11:47:00+00:00,2024-05-18T13:47:00+02:00,2024-05-18T11:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T12:47:00+00:00,2024-05-18T14:47:00+02:00,2024-05-18T12:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T13:47:00+00:00,2024-05-18T15:47:00+02:00,2024-05-18T13:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T14:47:00+00:00,2024-05-18T16:47:00+02:00,2024-05-18T14:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T15:47:00+00:00,2024-05-18T17:47:00+02:00,2024-05-18T15:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T16:47:00+00:00,2024-05-18T18:47:00+02:00,2024-05-18T16:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T17:47:00+00:00,2024-05-18T19:47:00+02:00,2024-05-18T17:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T18:47:00+00:00,2024-05-18T20:47:00+02:00,2024-05-18T18:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T19:47:00+00:00,2024-05-18T21:47:00+02:00,2024-05-18T19:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T20:47:00+00:00,2024-05-18T22:47:00+02:00,2024-05-18T20:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T21:47:00+00:00,2024-05-18T23:47:00+02:00,2024-05-18T21:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T22:47:00+00:00,2024-05-19T00:47:00+02:00,2024-05-18T22:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-18T23:47:00+00:00,2024-05-19T01:47:00+02:00,2024-05-18T23:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
2024-05-19T00:47:00+00:00,2024-05-19T02:47:00+02:00,2024-05-19T00:47:00+00:00,Europe/Rome,"[""TIMEZONE_ASSUMED""]",Timezone applied for reproducible UTC ordering.
