Q_selected,R_scenario,absolute_error,covered_by_95_interval,error,event_knowledge_status,exclusion_reason,experiment,filtered_posterior_at_origin,forecast_mean,forecast_mode,forecast_origin,forecast_variance,horizon,lower_interval,observed_value,origin_phase,target_phase,target_timestamp,test_cycle,training_cycle,upper_interval,valid_status,validity_flags,validity_status
250.0,R_low,0.376,True,-0.376,current_phase_transition,,Experiment A,16.0,18.624,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,262.091,1h,-13.107,19.0,baseline,baseline,2024-06-09T01:44:00+00:00,Cycle 2,Cycle 1,50.355,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,2.256,True,-2.256,current_phase_transition,,Experiment A,16.0,23.744,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,737.059,3h,-29.468,26.0,baseline,baseline,2024-06-09T03:44:00+00:00,Cycle 2,Cycle 1,76.956,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,5.111,True,5.111,current_phase_transition,,Experiment A,16.0,31.111,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,1392.845,6h,-42.037,26.0,baseline,baseline,2024-06-09T06:44:00+00:00,Cycle 2,Cycle 1,104.26,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,0.543,True,0.543,current_phase_transition,,Experiment A,18.967,21.543,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,272.077,1h,-10.787,21.0,baseline,baseline,2024-06-09T02:44:00+00:00,Cycle 2,Cycle 1,53.872,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,5.567,True,5.567,current_phase_transition,,Experiment A,18.967,26.567,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,746.402,3h,-26.981,21.0,baseline,baseline,2024-06-09T04:44:00+00:00,Cycle 2,Cycle 1,80.115,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,12.797,True,12.797,current_phase_transition,,Experiment A,18.967,33.797,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,1401.301,6h,-39.573,21.0,baseline,baseline,2024-06-09T07:44:00+00:00,Cycle 2,Cycle 1,107.168,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,2.413,True,-2.413,current_phase_transition,,Experiment A,21.046,23.587,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,272.148,1h,-8.747,26.0,baseline,baseline,2024-06-09T03:44:00+00:00,Cycle 2,Cycle 1,55.921,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,3.544,True,3.544,current_phase_transition,,Experiment A,21.046,28.544,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,746.468,3h,-25.006,25.0,baseline,baseline,2024-06-09T05:44:00+00:00,Cycle 2,Cycle 1,82.095,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,14.678,True,14.678,current_phase_transition,,Experiment A,21.046,35.678,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,1401.361,6h,-37.694,21.0,baseline,baseline,2024-06-09T08:44:00+00:00,Cycle 2,Cycle 1,109.05,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,7.26,True,7.26,current_phase_transition,,Experiment A,25.797,28.26,F1_no_future_event_knowledge,2024-06-09T03:44:00+00:00,272.148,1h,-4.074,21.0,baseline,baseline,2024-06-09T04:44:00+00:00,Cycle 2,Cycle 1,60.594,valid,PROVISIONAL_EVENT_BOUNDARY,valid
