adaptation_after_first_new_observation,adaptation_after_second_new_observation,adaptation_after_third_new_observation,experiment,first_rapid_removal_target_error,forecast_mode,horizon,interpretation,maximum_rapid_removal_error,pre_event_forecast_error,pre_event_forecast_origin,timestamp_of_maximum_error
73.103,-8.0,-3.0,Experiment A,73.103,F1_no_future_event_knowledge,1h,F1 has no future event knowledge before observations arrive.,73.103,-26.331,2024-06-13T20:44:00+00:00,2024-06-13T22:44:00+00:00
-3.0,16.0,20.0,Experiment A,75.336,F1_no_future_event_knowledge,3h,F1 has no future event knowledge before observations arrive.,160.967,160.967,2024-06-13T20:44:00+00:00,2024-06-13T23:44:00+00:00
27.443,12.846,23.209,Experiment A,58.185,F1_no_future_event_knowledge,6h,F1 has no future event knowledge before observations arrive.,205.238,187.957,2024-06-13T20:44:00+00:00,2024-06-14T01:44:00+00:00
-116.0,-8.0,-3.0,Experiment A,-116.0,F2_known_intervention_scenario,1h,"F2 is a known-intervention scenario, not autonomous event prediction.",116.0,-26.331,2024-06-13T20:44:00+00:00,2024-06-13T22:44:00+00:00
-3.0,16.0,20.0,Experiment A,-116.0,F2_known_intervention_scenario,3h,"F2 is a known-intervention scenario, not autonomous event prediction.",116.0,-8.0,2024-06-13T20:44:00+00:00,2024-06-13T22:44:00+00:00
25.0,12.846,23.209,Experiment A,-116.0,F2_known_intervention_scenario,6h,"F2 is a known-intervention scenario, not autonomous event prediction.",116.0,20.0,2024-06-13T20:44:00+00:00,2024-06-13T22:44:00+00:00
177.85,10.556,-13.563,Experiment B,177.85,F1_no_future_event_knowledge,1h,F1 has no future event knowledge before observations arrive.,177.85,-6.286,2024-05-29T21:47:00+00:00,2024-05-29T23:47:00+00:00
-10.794,-2.395,3.604,Experiment B,151.982,F1_no_future_event_knowledge,3h,F1 has no future event knowledge before observations arrive.,197.495,197.495,2024-05-29T21:47:00+00:00,2024-05-30T00:47:00+00:00
-0.007,13.681,16.476,Experiment B,129.487,F1_no_future_event_knowledge,6h,F1 has no future event knowledge before observations arrive.,163.806,195.942,2024-05-29T21:47:00+00:00,2024-05-30T00:47:00+00:00
0.714,10.556,-13.563,Experiment B,0.714,F2_known_intervention_scenario,1h,"F2 is a known-intervention scenario, not autonomous event prediction.",13.563,-6.286,2024-05-29T21:47:00+00:00,2024-05-30T01:47:00+00:00
-14.112,-2.395,3.604,Experiment B,-2.911,F2_known_intervention_scenario,3h,"F2 is a known-intervention scenario, not autonomous event prediction.",14.112,1.166,2024-05-29T21:47:00+00:00,2024-05-30T01:47:00+00:00
-6.641,13.681,16.476,Experiment B,-6.062,F2_known_intervention_scenario,6h,"F2 is a known-intervention scenario, not autonomous event prediction.",14.221,0.367,2024-05-29T21:47:00+00:00,2024-05-30T01:47:00+00:00
