R_scenario,experiment,flags,forecast_mode,forecast_origin,horizon,source,status,target_timestamp
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,1h,,valid,2024-06-09T01:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,3h,,valid,2024-06-09T03:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T00:44:00+00:00,6h,,valid,2024-06-09T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,1h,,valid,2024-06-09T02:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,3h,,valid,2024-06-09T04:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T01:44:00+00:00,6h,,valid,2024-06-09T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,1h,,valid,2024-06-09T03:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,3h,,valid,2024-06-09T05:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T02:44:00+00:00,6h,,valid,2024-06-09T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T03:44:00+00:00,1h,,valid,2024-06-09T04:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T03:44:00+00:00,3h,,valid,2024-06-09T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T03:44:00+00:00,6h,,valid,2024-06-09T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T04:44:00+00:00,1h,,valid,2024-06-09T05:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T04:44:00+00:00,3h,,valid,2024-06-09T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T04:44:00+00:00,6h,,valid,2024-06-09T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T05:44:00+00:00,1h,,valid,2024-06-09T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T05:44:00+00:00,3h,,valid,2024-06-09T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T05:44:00+00:00,6h,,valid,2024-06-09T11:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T06:44:00+00:00,1h,,valid,2024-06-09T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T06:44:00+00:00,3h,,valid,2024-06-09T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T06:44:00+00:00,6h,,valid,2024-06-09T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,1h,,valid,2024-06-09T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,3h,,valid,2024-06-09T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T07:44:00+00:00,6h,,valid,2024-06-09T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,1h,,valid,2024-06-09T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,3h,,valid,2024-06-09T11:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T08:44:00+00:00,6h,,valid,2024-06-09T14:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,1h,,valid,2024-06-09T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,3h,,valid,2024-06-09T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T09:44:00+00:00,6h,,valid,2024-06-09T15:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,1h,,valid,2024-06-09T11:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,3h,,valid,2024-06-09T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T10:44:00+00:00,6h,,valid,2024-06-09T16:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,1h,,valid,2024-06-09T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,3h,,valid,2024-06-09T14:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T11:44:00+00:00,6h,,valid,2024-06-09T17:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,1h,,valid,2024-06-09T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,3h,,valid,2024-06-09T15:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T12:44:00+00:00,6h,,valid,2024-06-09T18:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,1h,,valid,2024-06-09T14:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,3h,,valid,2024-06-09T16:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T13:44:00+00:00,6h,,valid,2024-06-09T19:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,1h,,valid,2024-06-09T15:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,3h,,valid,2024-06-09T17:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T14:44:00+00:00,6h,,valid,2024-06-09T20:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,1h,,valid,2024-06-09T16:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,3h,,valid,2024-06-09T18:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T15:44:00+00:00,6h,,valid,2024-06-09T21:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,1h,,valid,2024-06-09T17:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,3h,,valid,2024-06-09T19:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T16:44:00+00:00,6h,,valid,2024-06-09T22:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T17:44:00+00:00,1h,,valid,2024-06-09T18:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T17:44:00+00:00,3h,,valid,2024-06-09T20:44:00+00:00
