MAE,N,RMSE,R_scenario,bias,empirical_coverage,experiment,forecast_mode,horizon,interval_score,maximum_AE,mean_interval_width,median_AE
12.548,167,17.9,R_high,0.804,0.958,Experiment A,F1_no_future_event_knowledge,1h,103.765,72.759,83.15,8.452
16.575,165,24.518,R_high,2.273,0.982,Experiment A,F1_no_future_event_knowledge,3h,150.624,164.483,117.471,11.968
25.034,162,38.551,R_high,6.049,0.969,Experiment A,F1_no_future_event_knowledge,6h,254.756,198.944,153.553,17.045
13.76,167,19.833,R_low,0.626,0.91,Experiment A,F1_no_future_event_knowledge,1h,120.967,76.698,64.596,9.071
16.719,165,24.887,R_low,2.062,0.964,Experiment A,F1_no_future_event_knowledge,3h,150.092,157.043,106.145,11.101
24.778,162,38.898,R_low,5.905,0.963,Experiment A,F1_no_future_event_knowledge,6h,258.626,209.585,145.875,17.316
13.088,167,18.786,R_nominal,0.668,0.946,Experiment A,F1_no_future_event_knowledge,1h,110.014,75.656,70.324,9.19
16.401,165,24.533,R_nominal,2.125,0.97,Experiment A,F1_no_future_event_knowledge,3h,147.901,160.967,109.452,11.038
24.704,162,38.636,R_nominal,5.945,0.969,Experiment A,F1_no_future_event_knowledge,6h,256.431,205.238,148.076,17.155
12.83,167,19.304,R_high,-0.302,0.958,Experiment A,F2_known_intervention_scenario,1h,117.548,116.0,83.02,8.452
15.913,165,22.147,R_high,0.109,0.988,Experiment A,F2_known_intervention_scenario,3h,142.811,116.0,116.782,11.895
21.24,162,27.428,R_high,0.686,0.988,Experiment A,F2_known_intervention_scenario,6h,172.099,116.0,150.537,16.341
13.995,167,20.945,R_low,-0.528,0.91,Experiment A,F2_known_intervention_scenario,1h,130.686,116.0,64.58,9.071
16.035,165,22.652,R_low,-0.125,0.97,Experiment A,F2_known_intervention_scenario,3h,138.675,116.0,105.598,10.925
20.989,162,27.876,R_low,0.549,0.981,Experiment A,F2_known_intervention_scenario,6h,172.41,116.0,143.105,16.177
13.345,167,20.037,R_nominal,-0.464,0.946,Experiment A,F2_known_intervention_scenario,1h,121.263,116.0,70.272,9.19
15.72,165,22.19,R_nominal,-0.059,0.976,Experiment A,F2_known_intervention_scenario,3h,137.428,116.0,108.864,10.744
20.909,162,27.505,R_nominal,0.582,0.988,Experiment A,F2_known_intervention_scenario,6h,171.106,116.0,145.236,16.517
14.799,191,21.74,R_high,0.132,0.88,Experiment B,F1_no_future_event_knowledge,1h,125.455,169.775,60.973,11.559
19.375,189,28.354,R_high,0.446,0.91,Experiment B,F1_no_future_event_knowledge,3h,170.071,187.035,79.518,15.309
28.08,186,39.1,R_high,2.276,0.925,Experiment B,F1_no_future_event_knowledge,6h,254.916,186.195,99.454,23.359
14.303,191,22.174,R_low,0.502,0.754,Experiment B,F1_no_future_event_knowledge,1h,171.622,180.658,42.828,9.392
18.526,189,28.951,R_low,0.844,0.884,Experiment B,F1_no_future_event_knowledge,3h,191.942,205.938,67.999,13.955
26.592,186,38.651,R_low,2.743,0.898,Experiment B,F1_no_future_event_knowledge,6h,269.682,203.809,91.713,20.8
13.987,191,21.633,R_nominal,0.389,0.812,Experiment B,F1_no_future_event_knowledge,1h,144.252,177.85,49.174,9.433
18.523,189,28.269,R_nominal,0.712,0.905,Experiment B,F1_no_future_event_knowledge,3h,180.986,197.495,71.764,13.422
26.869,186,38.336,R_nominal,2.587,0.903,Experiment B,F1_no_future_event_knowledge,6h,260.834,195.942,94.177,20.86
13.912,191,17.936,R_high,-0.759,0.885,Experiment B,F2_known_intervention_scenario,1h,96.211,60.067,60.86,11.459
17.641,189,22.428,R_high,-1.358,0.921,Experiment B,F2_known_intervention_scenario,3h,115.648,71.581,79.093,15.238
23.839,186,28.378,R_high,-2.263,0.952,Experiment B,F2_known_intervention_scenario,6h,131.072,87.341,97.696,22.306
13.363,191,17.911,R_low,-0.438,0.759,Experiment B,F2_known_intervention_scenario,1h,138.26,57.467,42.809,9.285
16.64,189,21.983,R_low,-1.1,0.894,Experiment B,F2_known_intervention_scenario,3h,129.229,76.624,67.696,13.11
22.359,186,27.468,R_low,-1.818,0.925,Experiment B,F2_known_intervention_scenario,6h,141.538,86.926,90.166,18.931
13.06,191,17.389,R_nominal,-0.538,0.817,Experiment B,F2_known_intervention_scenario,1h,112.121,57.297,49.122,8.982
16.713,189,21.703,R_nominal,-1.164,0.915,Experiment B,F2_known_intervention_scenario,3h,121.969,75.349,71.421,13.401
22.672,186,27.392,R_nominal,-1.926,0.93,Experiment B,F2_known_intervention_scenario,6h,135.639,87.075,92.563,20.102
