MAE,N,RMSE,R_scenario,bias,empirical_coverage,experiment,forecast_mode,horizon,interval_score,maximum_AE,mean_interval_width,median_AE,target_phase
17.349,85,22.38,R_high,-3.555,0.929,Experiment A,F1_no_future_event_knowledge,1h,111.555,72.759,83.722,13.119,accumulation
6.564,32,8.652,R_high,3.635,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.675,19.042,83.675,5.288,baseline
6.847,46,8.695,R_high,5.356,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.098,20.0,83.098,5.864,post_event
23.946,4,35.567,R_high,18.446,0.75,Experiment A,F1_no_future_event_knowledge,1h,336.635,68.783,67.416,12.0,rapid_removal
19.207,85,25.216,R_high,-7.265,0.988,Experiment A,F1_no_future_event_knowledge,3h,129.333,81.765,118.811,13.989,accumulation
11.087,30,12.639,R_high,8.346,1.0,Experiment A,F1_no_future_event_knowledge,3h,118.779,24.18,118.779,9.811,baseline
11.251,46,13.436,R_high,10.784,1.0,Experiment A,F1_no_future_event_knowledge,3h,116.497,29.902,116.497,11.846,post_event
63.051,4,89.502,R_high,61.551,0.5,Experiment A,F1_no_future_event_knowledge,3h,1234.325,164.483,90.395,42.36,rapid_removal
23.692,85,30.647,R_high,-12.239,0.988,Experiment A,F1_no_future_event_knowledge,6h,155.778,79.66,154.688,16.382,accumulation
16.664,27,19.62,R_high,15.867,1.0,Experiment A,F1_no_future_event_knowledge,6h,154.663,34.992,154.663,15.682,baseline
21.908,46,34.32,R_high,21.908,0.978,Experiment A,F1_no_future_event_knowledge,6h,249.8,191.303,150.706,17.779,post_event
145.995,4,155.204,R_high,145.995,0.25,Experiment A,F1_no_future_event_knowledge,6h,3090.648,198.944,154.688,163.342,rapid_removal
20.065,85,25.269,R_low,-2.153,0.835,Experiment A,F1_no_future_event_knowledge,1h,154.543,75.182,64.668,15.999,accumulation
6.632,32,8.644,R_low,2.026,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.63,21.188,64.63,5.611,baseline
6.008,46,7.816,R_low,3.067,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.609,20.0,64.609,4.592,post_event
25.924,4,39.407,R_low,20.424,0.75,Experiment A,F1_no_future_event_knowledge,1h,506.292,76.698,62.652,12.0,rapid_removal
20.234,85,26.467,R_low,-5.95,0.953,Experiment A,F1_no_future_event_knowledge,3h,131.305,91.234,107.101,17.065,accumulation
10.158,30,11.843,R_low,6.679,1.0,Experiment A,F1_no_future_event_knowledge,3h,107.078,21.622,107.078,8.685,baseline
10.392,46,12.45,R_low,8.603,1.0,Experiment A,F1_no_future_event_knowledge,3h,105.648,28.631,105.648,8.588,post_event
63.987,4,88.476,R_low,62.487,0.5,Experiment A,F1_no_future_event_knowledge,3h,1383.02,157.043,84.54,47.953,rapid_removal
24.446,85,31.983,R_low,-10.975,0.976,Experiment A,F1_no_future_event_knowledge,6h,162.592,104.702,146.744,19.404,accumulation
15.761,27,18.704,R_low,14.233,1.0,Experiment A,F1_no_future_event_knowledge,6h,146.728,36.051,146.728,14.678,baseline
20.01,46,32.76,R_low,19.894,0.978,Experiment A,F1_no_future_event_knowledge,6h,240.086,184.224,143.693,15.558,post_event
147.519,4,157.595,R_low,147.519,0.25,Experiment A,F1_no_future_event_knowledge,6h,3267.874,209.585,146.744,161.322,rapid_removal
18.791,85,23.788,R_nominal,-2.534,0.906,Experiment A,F1_no_future_event_knowledge,1h,130.728,75.656,70.55,14.527,accumulation
6.388,32,8.432,R_nominal,2.467,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.456,19.703,70.456,4.843,baseline
6.174,46,7.923,R_nominal,3.694,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.352,20.0,70.352,4.723,post_event
25.026,4,37.66,R_nominal,19.526,0.75,Experiment A,F1_no_future_event_knowledge,1h,442.403,73.103,64.123,12.0,rapid_removal
19.477,85,25.632,R_nominal,-6.316,0.965,Experiment A,F1_no_future_event_knowledge,3h,125.963,86.902,110.521,15.905,accumulation
10.334,30,11.963,R_nominal,7.149,1.0,Experiment A,F1_no_future_event_knowledge,3h,110.461,22.369,110.461,9.512,baseline
10.549,46,12.618,R_nominal,9.212,1.0,Experiment A,F1_no_future_event_knowledge,3h,108.838,29.282,108.838,9.751,post_event
63.826,4,89.234,R_nominal,62.326,0.5,Experiment A,F1_no_future_event_knowledge,3h,1344.08,160.967,86.25,45.668,rapid_removal
23.974,85,31.253,R_nominal,-11.331,0.988,Experiment A,F1_no_future_event_knowledge,6h,158.322,94.273,149.022,17.727,accumulation
16.011,27,18.868,R_nominal,14.695,1.0,Experiment A,F1_no_future_event_knowledge,6h,148.978,33.583,148.978,14.74,baseline
20.534,46,33.361,R_nominal,20.481,0.978,Experiment A,F1_no_future_event_knowledge,6h,244.367,187.957,145.719,16.665,post_event
146.837,4,156.514,R_nominal,146.837,0.25,Experiment A,F1_no_future_event_knowledge,6h,3205.302,205.238,149.022,161.962,rapid_removal
17.349,85,22.38,R_high,-3.555,0.929,Experiment A,F2_known_intervention_scenario,1h,111.555,72.759,83.722,13.119,accumulation
6.564,32,8.652,R_high,3.635,1.0,Experiment A,F2_known_intervention_scenario,1h,83.675,19.042,83.675,5.288,baseline
6.847,46,8.695,R_high,5.356,1.0,Experiment A,F2_known_intervention_scenario,1h,83.098,20.0,83.098,5.864,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,116.0,61.98,12.0,rapid_removal
19.207,85,25.216,R_high,-7.265,0.988,Experiment A,F2_known_intervention_scenario,3h,129.333,81.765,118.811,13.989,accumulation
11.087,30,12.639,R_high,8.346,1.0,Experiment A,F2_known_intervention_scenario,3h,118.779,24.18,118.779,9.811,baseline
11.251,46,13.436,R_high,10.784,1.0,Experiment A,F2_known_intervention_scenario,3h,116.497,29.902,116.497,11.846,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,116.0,61.98,12.0,rapid_removal
23.692,85,30.647,R_high,-12.239,0.988,Experiment A,F2_known_intervention_scenario,6h,155.778,79.66,154.688,16.382,accumulation
16.664,27,19.62,R_high,15.867,1.0,Experiment A,F2_known_intervention_scenario,6h,154.663,34.992,154.663,15.682,baseline
18.131,46,19.702,R_high,18.131,1.0,Experiment A,F2_known_intervention_scenario,6h,148.148,34.726,148.148,17.779,post_event
35.75,4,58.705,R_high,-27.75,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,116.0,61.98,12.0,rapid_removal
20.065,85,25.269,R_low,-2.153,0.835,Experiment A,F2_known_intervention_scenario,1h,154.543,75.182,64.668,15.999,accumulation
6.632,32,8.644,R_low,2.026,1.0,Experiment A,F2_known_intervention_scenario,1h,64.63,21.188,64.63,5.611,baseline
6.008,46,7.816,R_low,3.067,1.0,Experiment A,F2_known_intervention_scenario,1h,64.609,20.0,64.609,4.592,post_event
35.75,4,58.705,R_low,-27.75,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,116.0,61.98,12.0,rapid_removal
