R_scenario,empirical_coverage,experiment,forecast_mode,horizon,interval_score,mean_interval_width,target_phase
R_high,0.929,Experiment A,F1_no_future_event_knowledge,1h,111.555,83.722,accumulation
R_high,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.675,83.675,baseline
R_high,1.0,Experiment A,F1_no_future_event_knowledge,1h,83.098,83.098,post_event
R_high,0.75,Experiment A,F1_no_future_event_knowledge,1h,336.635,67.416,rapid_removal
R_high,0.988,Experiment A,F1_no_future_event_knowledge,3h,129.333,118.811,accumulation
R_high,1.0,Experiment A,F1_no_future_event_knowledge,3h,118.779,118.779,baseline
R_high,1.0,Experiment A,F1_no_future_event_knowledge,3h,116.497,116.497,post_event
R_high,0.5,Experiment A,F1_no_future_event_knowledge,3h,1234.325,90.395,rapid_removal
R_high,0.988,Experiment A,F1_no_future_event_knowledge,6h,155.778,154.688,accumulation
R_high,1.0,Experiment A,F1_no_future_event_knowledge,6h,154.663,154.663,baseline
R_high,0.978,Experiment A,F1_no_future_event_knowledge,6h,249.8,150.706,post_event
R_high,0.25,Experiment A,F1_no_future_event_knowledge,6h,3090.648,154.688,rapid_removal
R_low,0.835,Experiment A,F1_no_future_event_knowledge,1h,154.543,64.668,accumulation
R_low,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.63,64.63,baseline
R_low,1.0,Experiment A,F1_no_future_event_knowledge,1h,64.609,64.609,post_event
R_low,0.75,Experiment A,F1_no_future_event_knowledge,1h,506.292,62.652,rapid_removal
R_low,0.953,Experiment A,F1_no_future_event_knowledge,3h,131.305,107.101,accumulation
R_low,1.0,Experiment A,F1_no_future_event_knowledge,3h,107.078,107.078,baseline
R_low,1.0,Experiment A,F1_no_future_event_knowledge,3h,105.648,105.648,post_event
R_low,0.5,Experiment A,F1_no_future_event_knowledge,3h,1383.02,84.54,rapid_removal
R_low,0.976,Experiment A,F1_no_future_event_knowledge,6h,162.592,146.744,accumulation
R_low,1.0,Experiment A,F1_no_future_event_knowledge,6h,146.728,146.728,baseline
R_low,0.978,Experiment A,F1_no_future_event_knowledge,6h,240.086,143.693,post_event
R_low,0.25,Experiment A,F1_no_future_event_knowledge,6h,3267.874,146.744,rapid_removal
R_nominal,0.906,Experiment A,F1_no_future_event_knowledge,1h,130.728,70.55,accumulation
R_nominal,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.456,70.456,baseline
R_nominal,1.0,Experiment A,F1_no_future_event_knowledge,1h,70.352,70.352,post_event
R_nominal,0.75,Experiment A,F1_no_future_event_knowledge,1h,442.403,64.123,rapid_removal
R_nominal,0.965,Experiment A,F1_no_future_event_knowledge,3h,125.963,110.521,accumulation
R_nominal,1.0,Experiment A,F1_no_future_event_knowledge,3h,110.461,110.461,baseline
R_nominal,1.0,Experiment A,F1_no_future_event_knowledge,3h,108.838,108.838,post_event
R_nominal,0.5,Experiment A,F1_no_future_event_knowledge,3h,1344.08,86.25,rapid_removal
R_nominal,0.988,Experiment A,F1_no_future_event_knowledge,6h,158.322,149.022,accumulation
R_nominal,1.0,Experiment A,F1_no_future_event_knowledge,6h,148.978,148.978,baseline
R_nominal,0.978,Experiment A,F1_no_future_event_knowledge,6h,244.367,145.719,post_event
R_nominal,0.25,Experiment A,F1_no_future_event_knowledge,6h,3205.302,149.022,rapid_removal
R_high,0.929,Experiment A,F2_known_intervention_scenario,1h,111.555,83.722,accumulation
R_high,1.0,Experiment A,F2_known_intervention_scenario,1h,83.675,83.675,baseline
R_high,1.0,Experiment A,F2_known_intervention_scenario,1h,83.098,83.098,post_event
R_high,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,61.98,rapid_removal
R_high,0.988,Experiment A,F2_known_intervention_scenario,3h,129.333,118.811,accumulation
R_high,1.0,Experiment A,F2_known_intervention_scenario,3h,118.779,118.779,baseline
R_high,1.0,Experiment A,F2_known_intervention_scenario,3h,116.497,116.497,post_event
R_high,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,61.98,rapid_removal
R_high,0.988,Experiment A,F2_known_intervention_scenario,6h,155.778,154.688,accumulation
R_high,1.0,Experiment A,F2_known_intervention_scenario,6h,154.663,154.663,baseline
R_high,1.0,Experiment A,F2_known_intervention_scenario,6h,148.148,148.148,post_event
R_high,0.75,Experiment A,F2_known_intervention_scenario,6h,912.08,61.98,rapid_removal
R_low,0.835,Experiment A,F2_known_intervention_scenario,1h,154.543,64.668,accumulation
R_low,1.0,Experiment A,F2_known_intervention_scenario,1h,64.63,64.63,baseline
R_low,1.0,Experiment A,F2_known_intervention_scenario,1h,64.609,64.609,post_event
R_low,0.75,Experiment A,F2_known_intervention_scenario,1h,912.08,61.98,rapid_removal
R_low,0.953,Experiment A,F2_known_intervention_scenario,3h,131.305,107.101,accumulation
R_low,1.0,Experiment A,F2_known_intervention_scenario,3h,107.078,107.078,baseline
R_low,1.0,Experiment A,F2_known_intervention_scenario,3h,105.648,105.648,post_event
R_low,0.75,Experiment A,F2_known_intervention_scenario,3h,912.08,61.98,rapid_removal
R_low,0.976,Experiment A,F2_known_intervention_scenario,6h,162.592,146.744,accumulation
R_low,1.0,Experiment A,F2_known_intervention_scenario,6h,146.728,146.728,baseline
