campaign_id,analysis_report_id,segment_id,episode_sequence_number,episode_type,start,end,duration_hours,measurement_count,starting_radon,ending_radon,min_radon,max_radon,mean_radon,median_radon,absolute_concentration_change,relative_concentration_change_percent,mean_adjacent_slope_bq_m3_per_hour,robust_episode_slope_bq_m3_per_hour,maximum_positive_slope,maximum_negative_slope,local_variability,concentration_level_distribution,dynamic_state_distribution,distance_from_previous_gap_hours,distance_to_next_gap_hours,nearby_gap_count,quality_status,confidence_score,confidence_category,confidence_reason_codes,regime_algorithm_version,episode_algorithm_version,parameter_set_identifier,legacy_episode_label,mean_slope_bq_m3_per_hour,regime_confidence_score,regime_confidence_label,algorithm_version
3,12,1,1,QUALITY_AFFECTED,2024-05-17T00:47:00+00:00,2024-05-17T00:47:00+00:00,0.0,1,11.0,11.0,11.0,11.0,11.0,11.0,0,0.0,N/A,N/A,N/A,N/A,0.0,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""QUALITY_AFFECTED"": {""count"": 1, ""percent"": 100.0}}",N/A,0.0,1,QUALITY_AFFECTED,0.25,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,quality affected,N/A,0.25,LOW,episode_analysis_v2.1
3,12,2,1,QUALITY_AFFECTED,2024-05-17T02:47:00+00:00,2024-05-17T02:47:00+00:00,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,0,0.0,N/A,N/A,N/A,N/A,0.0,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""QUALITY_AFFECTED"": {""count"": 1, ""percent"": 100.0}}",0.0,60.0,2,QUALITY_AFFECTED,0.25,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,quality affected,N/A,0.25,LOW,episode_analysis_v2.1
3,12,2,2,UNSTABLE_TRANSITION,2024-05-17T03:47:00+00:00,2024-05-19T05:47:00+00:00,50.0,51,19.0,23.0,2.0,28.0,12.902,11.0,4.0,21.053,0.353,0.08,20.0,-23.0,3.343,"{""LOW"": {""count"": 51, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 51, ""percent"": 100.0}}",1.0,9.0,2,LOW_CONFIDENCE,0.835,HIGH,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,0.451,0.835,HIGH,episode_analysis_v2.1
3,12,2,3,STABLE_LOW,2024-05-19T06:47:00+00:00,2024-05-19T08:47:00+00:00,2.0,3,26.0,25.0,25.0,28.0,26.333,26.0,-1.0,-3.846,0.667,-0.5,3.0,-3.0,4.5,"{""LOW"": {""count"": 3, ""percent"": 100.0}}","{""STABLE"": {""count"": 3, ""percent"": 100.0}}",52.0,6.0,2,OK,0.881,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,stable low,1.833,0.881,HIGH,episode_analysis_v2.1
3,12,2,4,UNSTABLE_TRANSITION,2024-05-19T09:47:00+00:00,2024-05-19T14:47:00+00:00,5.0,6,18.0,11.0,11.0,30.0,21.167,20.0,-7.0,-38.889,-2.333,-1.4,10.0,-9.0,3.167,"{""LOW"": {""count"": 6, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 6, ""percent"": 100.0}}",55.0,0.0,2,OK,0.929,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,-1.917,0.929,HIGH,episode_analysis_v2.1
3,12,3,1,QUALITY_AFFECTED,2024-05-19T16:47:00+00:00,2024-05-19T16:47:00+00:00,0.0,1,11.0,11.0,11.0,11.0,11.0,11.0,0,0.0,N/A,N/A,N/A,N/A,0.0,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""QUALITY_AFFECTED"": {""count"": 1, ""percent"": 100.0}}",0.0,1.0,2,QUALITY_AFFECTED,0.25,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,quality affected,N/A,0.25,LOW,episode_analysis_v2.1
3,12,3,2,UNSTABLE_TRANSITION,2024-05-19T17:47:00+00:00,2024-05-19T17:47:00+00:00,0.0,1,5.0,5.0,5.0,5.0,5.0,5.0,0,0.0,-6.0,N/A,-6.0,-6.0,3.0,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",1.0,0.0,2,LOW_CONFIDENCE_SHORT_EPISODE,0.39,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_NEAR_THRESHOLD""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,-6.0,0.39,LOW,episode_analysis_v2.1
3,12,4,1,QUALITY_AFFECTED,2024-05-19T19:47:00+00:00,2024-05-19T19:47:00+00:00,0.0,1,14.0,14.0,14.0,14.0,14.0,14.0,0,0.0,N/A,N/A,N/A,N/A,0.0,"{""LOW"": {""count"": 1, ""percent"": 100.0}}","{""QUALITY_AFFECTED"": {""count"": 1, ""percent"": 100.0}}",0.0,37.0,2,QUALITY_AFFECTED,0.25,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,quality affected,N/A,0.25,LOW,episode_analysis_v2.1
3,12,4,2,STABLE_LOW,2024-05-19T20:47:00+00:00,2024-05-19T21:47:00+00:00,1.0,2,9.0,18.0,9.0,18.0,13.5,13.5,9.0,100.0,2.0,9.0,9.0,-5.0,3.25,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",1.0,35.0,2,LOW_CONFIDENCE,0.648,MEDIUM,"[""INSUFFICIENT_WINDOW"", ""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,stable low,-1.5,0.648,MEDIUM,episode_analysis_v2.1
3,12,4,3,UNSTABLE_TRANSITION,2024-05-19T22:47:00+00:00,2024-05-21T08:47:00+00:00,34.0,35,11.0,14.0,5.0,37.0,21.143,21.0,3.0,27.273,-0.114,0.088,16.0,-16.0,3.786,"{""LOW"": {""count"": 35, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 35, ""percent"": 100.0}}",3.0,0.0,2,OK,0.846,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",regime_analysis_v2.1,episode_analysis_v2.1,v2.1_low100.0_high200.0_trend15.0_short3_medium6_persist2,unstable transition,0.043,0.846,HIGH,episode_analysis_v2.1
