start,end,episode_type,starting_radon,ending_radon,max_radon,duration_hours,robust_episode_slope_bq_m3_per_hour,confidence_score,confidence_category,confidence_reason_codes,distance_from_previous_gap_hours,distance_to_next_gap_hours,analysis_report_id
2024-05-25T11:47:00+00:00,2024-05-29T14:47:00+00:00,UNSTABLE_TRANSITION,64.0,251.0,284.0,99.0,1.889,0.837,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",97.0,164.967,12
2024-06-07T18:44:00+00:00,2024-06-13T21:44:00+00:00,UNSTABLE_TRANSITION,37.0,223.0,277.0,147.0,1.265,0.837,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",53.0,70.0,12
2024-05-29T17:47:00+00:00,2024-05-29T22:47:00+00:00,UNSTABLE_TRANSITION,168.0,228.0,238.0,5.0,12.0,0.755,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",199.0,156.967,12
2024-05-29T15:47:00+00:00,2024-05-29T16:47:00+00:00,DECLINE,207.0,183.0,207.0,1.0,-24.0,1.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",197.0,162.967,12
2024-06-13T22:44:00+00:00,2024-06-13T23:44:00+00:00,SUDDEN_DROP_EVENT,143.0,35.0,143.0,1.0,-108.0,0.925,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""STRONG_PERSISTENT_TREND"", ""SUDDEN_NEGATIVE_CHANGE"", ""SUFFICIENT_WINDOW""]",201.0,68.0,12
2024-07-07T23:40:00+00:00,2024-07-07T23:40:00+00:00,QUALITY_AFFECTED,119.0,119.0,119.0,0.0,N/A,0.25,LOW,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP""]",0.0,58.0,12
2024-05-25T09:47:00+00:00,2024-05-25T10:47:00+00:00,ACCUMULATION,47.0,74.0,74.0,1.0,27.0,0.935,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW""]",95.0,264.967,12
2024-06-19T17:44:00+00:00,2024-06-21T20:44:00+00:00,UNSTABLE_TRANSITION,39.0,30.0,67.0,51.0,-0.176,0.857,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",56.0,68.0,12
2024-07-05T21:40:00+00:00,2024-07-07T09:40:00+00:00,UNSTABLE_TRANSITION,18.0,64.0,64.0,36.0,1.278,0.852,HIGH,"[""INSUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""NEAR_GAP"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",1.0,0.0,12
2024-06-07T00:44:00+00:00,2024-06-07T16:44:00+00:00,UNSTABLE_TRANSITION,21.0,57.0,57.0,16.0,2.25,0.858,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD"", ""SUFFICIENT_WINDOW""]",35.0,219.0,12
2024-07-08T00:40:00+00:00,2024-07-08T01:40:00+00:00,UNSTABLE_TRANSITION,47.0,26.0,47.0,1.0,-21.0,0.575,MEDIUM,"[""HIGH_LOCAL_VARIABILITY"", ""INSUFFICIENT_WINDOW"", ""NEAR_GAP"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW""]",1.0,56.0,12
2024-06-18T04:44:00+00:00,2024-06-19T14:44:00+00:00,UNSTABLE_TRANSITION,21.0,32.0,47.0,34.0,0.324,0.86,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",19.0,122.0,12
2024-05-29T23:47:00+00:00,2024-05-30T00:47:00+00:00,SUDDEN_DROP_EVENT,46.0,21.0,46.0,1.0,-25.0,0.85,HIGH,"[""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""STRONG_PERSISTENT_TREND"", ""SUDDEN_NEGATIVE_CHANGE"", ""SUFFICIENT_WINDOW""]",205.0,154.967,12
2024-07-14T21:40:00+00:00,2024-07-19T03:40:00+00:00,UNSTABLE_TRANSITION,14.0,37.0,46.0,102.0,0.225,0.838,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD"", ""SLOPE_WITHIN_STABLE_THRESHOLD"", ""SUFFICIENT_WINDOW""]",13.0,0.0,12
